Ciudad,Fecha,Hora,Actividad,Dirección,Maps
Madrid,Dia 1 / Dom 4/5,16:00 a 18:00,Actividad inicial / apertura templo de debod,"C. de Ferraz, 1, Moncloa - Aravaca, 28008 Madrid, España",https://maps.app.goo.gl/CntMXBxtbLvAVQTk7
Madrid,Dia 1 / Dom 4/5,Opcion 2 - 18:00 a 20:00,Restaurant Txirimiri Ferraz,"C. de Ferraz, 38, Moncloa - Aravaca, 28008 Madrid",https://maps.app.goo.gl/NXNHKTnkV7f3dzvJA
Madrid,Dia 2 / Lun 5/5,9.00 a 11.00,Invesyde,"Av del Cardenal Herrera Oria, 63, 3º Izquierda, Fuencarral-El Pardo, 28034 Madrid, España",https://goo.gl/maps/1v67R5WFuNEqhLvb9
Madrid,Dia 2 / Lun 5/5,11.00 a 11.30,TBD,,-
Madrid,Dia 2 / Lun 5/5,12.30 a 14.00,Globant,"Pl. Pablo Ruiz Picasso, 11, Piso 7, Tetuán, Tetuán, 28020 Madrid",https://maps.app.goo.gl/JNep6TXeBaK2dGMj8
Madrid,Dia 2 / Lun 5/5,14.00 a 15.00,Almuerzo en Globant,,-
Madrid,Dia 2 / Lun 5/5,15.00 a 18.00,Santander Seguros,"C. de Josefa Valcárcel, 34, San Blas-Canillejas, 28027 Madrid",https://maps.app.goo.gl/W7sg59pghdgZ66rJA
Madrid,Dia 2 / Lun 5/5,19,Clarity - Edu Ferro / Meetup en TWY,"P.º de las Acacias, 50 Bis, Arganzuela, 28005 Madrid",https://maps.app.goo.gl/HLFPgCKjSLmeSHYW8
Madrid,Dia 3 / Mar 6/5,9:00 a 10:00,Traslado a Origami Shcool (¿o desayuno con Edu F?),-,-
Madrid,Dia 3 / Mar 6/5,10:00 a 16:00,Origami School + Lego?,"Av. de los Prados, 3A, 28413 El Boalo, Madrid, España",https://goo.gl/maps/jR9CuZ7yhj2TFAvPA
Madrid,Dia 3 / Mar 6/5,16:00 a 17:00,Traslado a Supermercado La Osa,,
Madrid,Dia 3 / Mar 6/5,17:00 a 19:30,Supermercado La Osa,"Av. de Asturias, 57, Tetuán, 28029 Madrid, España",https://maps.app.goo.gl/q4Lsjcp5U3HcV3ox7
Madrid,Dia 3 / Mar 6/5,19:30 a 20:00,(Opt) Traslado a Aeropuerto,-,-
Madrid,Dia 3 / Mar 6/5,22:10,(Opt) Salida a Bilbao - Vuelo IB 0441,-,-
